City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,santa terezinha,-29.9002,-50.0904,19.58,79,100,6.89,BR,1692710266
252,jaisalmer,26.9147,70.9181,37.93,31,82,7.12,IN,1692710140
253,darlowo,54.421,16.4107,20.75,60,30,3.39,PL,1692710266
254,bestobe,52.4994,73.0975,28.42,32,56,5.37,KZ,1692710266
255,soe,-9.8607,124.284,16.55,88,5,2.48,ID,1692710267
256,naze,28.3667,129.4833,25.51,86,9,0.23,JP,1692710210
257,tomatlan,19.9333,-105.25,25.47,78,100,1.32,MX,1692710267
258,geraldton,-28.7667,114.6,10.23,93,2,3.09,AU,1692710233
259,tolanaro,-25.0319,46.9987,24.36,75,3,8.2,MG,1692710166
260,vikulovo,56.8167,70.6107,20.39,41,94,3.98,RU,1692710268
261,kas,36.2018,29.6377,32.81,53,0,2.48,TR,1692710268
262,thabazimbi,-24.5917,27.4116,33.45,10,0,5.75,ZA,1692710268
263,thinadhoo,0.5333,72.9333,28.17,75,100,5.48,MV,1692710268
264,nigel,-26.4314,28.4771,30.21,6,0,7.52,ZA,1692710268
265,chinde,26.8418,88.0763,19.86,93,86,1.22,NP,1692710269
266,flin flon,54.7682,-101.865,14.91,94,100,1.03,CA,1692710269
267,belyy yar,53.6039,91.3903,18.94,68,0,2.0,RU,1692710269
268,woolgoolga,-30.1106,153.2007,15.58,85,0,3.06,AU,1692710269
269,talcahuano,-36.7167,-73.1167,8.82,100,100,2.06,CL,1692710269
270,la ronge,55.1001,-105.2842,15.14,88,75,2.06,CA,1692710270
271,kankanhalli,12.55,77.4167,28.34,58,100,1.64,IN,1692710270
272,akureyri,65.6835,-18.0878,9.96,66,100,1.54,IS,1692709983
273,ribeira brava,32.65,-17.0667,33.17,74,100,1.72,PT,1692710270
274,tete,-16.1564,33.5867,37.05,19,0,3.6,MZ,1692710270
275,cafayate,-26.073,-65.9761,21.48,4,100,1.15,AR,1692710270
276,mentekab,3.4854,102.3484,26.08,94,79,0.75,MY,1692710159
277,qashyr,53.0675,76.1036,28.24,34,6,6.37,KZ,1692710271
278,aberystwyth,52.4155,-4.0829,19.94,87,82,7.0,GB,1692710271
279,montepuez,-13.1256,38.9997,32.25,20,0,2.44,MZ,1692710271
280,levuka,50.1834,-105.4011,13.9,100,100,5.14,CA,1692710272
281,slave lake,55.2834,-114.769,10.99,100,100,1.54,CA,1692710272
282,moranbah,-22.0016,148.0466,16.37,73,0,4.14,AU,1692710272
283,avarua,-21.2078,-159.775,19.03,94,75,3.09,CK,1692710272
284,opuwo,-18.0607,13.84,33.16,8,0,3.93,NA,1692710272
285,timimoun,29.2639,0.231,43.21,8,0,7.2,DZ,1692710095
